0,0,21
0,1,21
0,4,63
0,5,63
0,6,89
1,0,39
1,1,39
1,6,39
2,0,78
2,1,58
2,4,78
2,5,77
2,6,78
3,0,35
3,1,35
3,4,23
3,5,66
3,6,66
4,0,34
4,1,96
4,4,96
4,5,51
4,6,53
5,0,35
5,1,48
5,4,59
5,5,59
5,6,35
6,0,42
6,1,32
6,4,49
6,5,68
6,6,11
7,0,9
7,1,28
7,4,12
7,5,30
7,6,80
8,0,91
8,1,76
8,4,47
8,5,90
8,6,5
9,0,42
9,1,1
9,4,43
9,5,31
9,6,69
10,0,31
10,6,31
11,0,98
11,1,61
11,4,98
11,5,98
11,6,48
12,0,22
12,4,7
12,5,93
12,6,70
13,0,10
13,6,48
14,0,82
14,1,39
14,4,82
14,5,82
14,6,27
15,0,24
15,4,88
15,5,88
15,6,88
16,0,51
16,1,96
16,4,83
16,5,83
16,6,75
17,0,36
17,1,78
17,4,60
17,5,36
17,6,46
18,0,11
18,1,37
18,4,62
18,5,62
18,6,36
19,0,40
19,1,57
19,4,40
19,5,57
19,6,7
20,0,65
20,1,52
20,4,87
20,5,87
20,6,65
21,0,99
21,1,94
21,4,99
21,5,99
21,6,92
22,0,5
22,1,80
22,4,79
22,5,80
22,6,80
23,0,32
23,1,17
23,4,32
23,5,45
23,6,32
24,0,69
24,1,4
24,4,17
24,5,74
24,6,4
25,0,70
25,1,86
25,4,70
25,5,86
25,6,86
26,0,8
26,1,40
26,4,3
26,5,53
26,6,40
27,0,34
27,1,34
27,4,34
27,5,46
27,6,46
28,0,93
28,1,93
28,4,81
28,5,81
28,6,81
29,0,25
29,1,25
29,4,89
29,5,89
29,6,55
30,0,19
30,6,19
31,0,50
31,6,87
32,0,35
32,1,56
32,4,10
32,5,56
32,6,56
33,0,79
33,1,18
33,4,26
33,5,18
33,6,79
34,0,83
34,1,73
34,4,55
34,5,73
34,6,73
35,0,70
35,1,71
35,4,91
35,5,91
35,6,79
36,0,27
36,1,14
36,4,23
36,5,95
36,6,14
37,0,29
37,1,33
37,4,33
37,5,61
37,6,29
38,0,13
38,1,54
38,4,54
38,5,95
38,6,13
39,0,60
39,4,6
39,5,28
39,6,7
40,0,64
40,1,64
40,4,64
40,5,90
40,6,47
41,0,25
41,1,15
41,4,97
41,5,97
41,6,25
42,0,84
42,1,84
42,4,74
42,5,84
42,6,68
43,0,44
43,1,21
43,4,37
43,5,50
43,6,44
44,0,85
44,1,42
44,4,85
44,5,85
44,6,86
45,0,41
45,1,94
45,4,94
45,5,22
45,6,22
46,0,20
46,1,38
46,4,0
46,5,38
46,6,20
47,0,3
47,1,10
47,4,92
47,5,92
47,6,10
48,0,16
48,1,44
48,4,16
48,5,67
48,6,2
49,0,1
49,1,1
49,4,19
49,5,6
49,6,72
